County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Benzie County,MI,1.5,0.5,0.7,2.5,0.0,1.5,95.8,93.7
Bergen County,NJ,0.5,17.0,7.4,21.0,0.1,2.2,72.9,55.1
Berkeley County,SC,0.7,2.7,24.7,7.0,0.1,2.9,69.0,63.3
Berkeley County,WV,0.3,1.1,7.9,4.8,0.0,3.0,87.7,83.6
Berks County,PA,0.9,1.6,7.4,22.5,0.2,3.1,86.9,70.3
Berkshire County,MA,0.3,1.7,3.6,5.1,0.1,2.5,91.8,87.7
Bernalillo County,NM,6.3,2.9,3.6,50.3,0.1,3.1,83.9,38.3
Berrien County,GA,0.4,1.2,11.2,5.5,0.1,1.3,85.8,80.9
Berrien County,MI,0.7,2.1,14.8,5.8,0.1,2.6,79.7,74.8
Bertie County,NC,0.7,0.8,61.1,2.4,0.1,1.2,36.2,34.7
Bethel Census Area,AK,83.9,1.0,1.0,2.7,0.2,3.7,10.3,9.6
Bexar County,TX,1.2,3.3,8.6,60.7,0.2,2.4,84.3,27.1
Bibb County,AL,0.5,0.2,21.3,2.8,0.1,1.2,76.8,74.4
Bibb County,GA,0.3,2.2,55.8,3.5,0.1,1.6,40.0,37.4
Bienville Parish,LA,0.4,0.3,41.6,2.1,0.0,1.6,56.0,54.5
Big Horn County,MT,66.4,0.7,0.4,6.6,0.0,3.4,29.1,26.5
Big Horn County,WY,1.5,0.5,0.8,9.2,0.0,1.6,95.6,87.5
Big Stone County,MN,0.7,0.3,0.5,2.1,-1.0,1.2,97.3,95.5
Billings County,ND,0.6,4.1,0.4,2.6,0.2,0.6,94.0,91.9
Bingham County,ID,7.3,1.0,0.6,17.9,0.2,1.9,89.0,73.9
Black Hawk County,IA,0.4,2.5,9.7,4.6,0.4,2.5,84.5,80.6
Blackford County,IN,0.3,0.6,0.8,1.8,0.0,1.6,96.8,95.2
Bladen County,NC,3.1,0.3,34.0,7.8,0.0,1.7,60.8,54.9
Blaine County,ID,1.7,1.2,0.7,23.5,0.1,1.6,94.6,73.7
Blaine County,MT,50.6,0.2,0.4,3.7,0.0,3.1,45.7,43.8
Blaine County,NE,0.2,-1.0,0.4,1.5,-1.0,1.1,98.3,96.8
Blaine County,OK,9.9,0.4,3.5,12.5,0.1,5.3,80.9,71.4
Blair County,PA,0.2,0.7,2.0,1.3,0.0,1.5,95.6,94.5
